Mod:Item:MetaData, Localized Name
minecraft:stained_glass:10, Vidro Tingido de Lilás
minecraft:stained_glass:11, Vidro Tingido de Azul
minecraft:stained_glass:12, Vidro Tingido de Marrom
minecraft:stained_glass:13, Vidro Tingido de Verde
minecraft:stained_glass:14, Vidro Tingido de Vermelho
minecraft:stained_glass:15, Vidro Tingido de Preto
minecraft:trapdoor, Alçapão
minecraft:monster_egg:0, Ovo de Monstro de Pedra
minecraft:monster_egg:1, Ovo de Monstro de Pedregulho
minecraft:monster_egg:2, Ovo de Monstro de Tijolos de Pedra
minecraft:monster_egg:3, Ovo de Monstro de Tijolos de Pedra com Musgo
minecraft:monster_egg:4, Ovo de Monstro de Tijolos de Pedra Rachados
minecraft:monster_egg:5, Ovo de Monstro de Tijolos de Pedra Talhados
minecraft:stonebrick:0, Tijolos de Pedra
minecraft:stonebrick:1, Tijolos de Pedra com Musgo
minecraft:stonebrick:2, Tijolos de Pedra Rachados
minecraft:stonebrick:3, Tijolos de Pedra Talhados
minecraft:brown_mushroom_block, Cogumelo
minecraft:red_mushroom_block, Cogumelo
minecraft:iron_bars, Barras de Ferro
minecraft:glass_pane, Painel de Vidro
minecraft:melon_block, Melancia
minecraft:vine, Vinhas
minecraft:fence_gate, Portão
minecraft:brick_stairs, Escadas de Tijolos
minecraft:stone_brick_stairs, Escadas de Tijolos de Pedra
minecraft:mycelium, Micélio
minecraft:waterlily, Vitória-Régia
minecraft:nether_brick, Tijolos do Nether
minecraft:nether_brick_fence, Cerca de Tijolos do Nether
minecraft:nether_brick_stairs, Escadas de Tijolos do Nether
minecraft:enchanting_table, Altar de Encantamentos
minecraft:end_portal, End Portal
minecraft:end_portal_frame, Portal do Fim
minecraft:end_stone, Pedra do Fim
minecraft:dragon_egg, Ovo de Dragão
minecraft:redstone_lamp, Lâmpada de Redstone
minecraft:wooden_slab:0, Laje de Carvalho
minecraft:wooden_slab:1, Laje de Pinheiro
minecraft:wooden_slab:2, Laje de Eucalipto
minecraft:wooden_slab:3, Laje de Madeira da Selva
minecraft:wooden_slab:4, Laje de Acácia
minecraft:wooden_slab:5, Laje de Carvalho Escuro
minecraft:cocoa, Cacau
minecraft:sandstone_stairs, Escadas de Arenito
minecraft:emerald_ore, Minério de Esmeralda
minecraft:ender_chest, Baú do Fim
minecraft:tripwire_hook, Gancho de Armadilha
minecraft:emerald_block, Bloco de Esmeralda
minecraft:spruce_stairs, Escadas de Pinheiro
minecraft:birch_stairs, Escadas de Eucalipto
minecraft:jungle_stairs, Escadas de Madeira da Selva
minecraft:command_block, Bloco de Comando
minecraft:beacon, Sinalizador
minecraft:cobblestone_wall:0, Parede de Pedregulho
minecraft:cobblestone_wall:1, Parede de Pedregulho com Musgo
minecraft:carrots, Cenouras
minecraft:potatoes, Batatas
minecraft:wooden_button, Botão
minecraft:anvil:0, Bigorna
minecraft:anvil:1, Bigorna Ligeiramente Danificada
minecraft:anvil:2, Bigorna Muito Danificada
minecraft:trapped_chest, Baú com Armadilha
minecraft:light_weighted_pressure_plate, Placa de Pressão de Pesagem (Leve)
minecraft:heavy_weighted_pressure_plate, Placa de Pressão de Pesagem (Pesada)
minecraft:daylight_detector, Sensor de Luz Solar
minecraft:redstone_block, Bloco de Redstone
minecraft:quartz_ore, Minério de Quartzo
minecraft:hopper, Funil
minecraft:quartz_block:0, Bloco de Quartzo
minecraft:quartz_block:1, Bloco de Quartzo Talhado
minecraft:quartz_block:2, Pilar de Quartzo
minecraft:quartz_stairs, Escadas de Quartzo
minecraft:activator_rail, Trilho Ativador
minecraft:dropper, Liberador
minecraft:stained_hardened_clay:0, Argila Tingida de Branco
minecraft:stained_hardened_clay:1, Argila Tingida de Laranja
minecraft:stained_hardened_clay:2, Argila Tingida de Magenta
minecraft:stained_hardened_clay:3, Argila Tingida de Azul Claro
minecraft:stained_hardened_clay:4, Argila Tingida de Amarelo
minecraft:stained_hardened_clay:5, Argila Tingida de Verde Limão
minecraft:stained_hardened_clay:6, Argila Tingida de Rosa
minecraft:stained_hardened_clay:7, Argila Tingida de Cinza
minecraft:stained_hardened_clay:8, Argila Tingida de Cinza Claro
minecraft:stained_hardened_clay:9, Argila Tingida de Ciano
minecraft:stained_hardened_clay:10, Argila Tingida de Lilás
minecraft:stained_hardened_clay:11, Argila Tingida de Azul
minecraft:stained_hardened_clay:12, Argila Tingida de Marrom
minecraft:stained_hardened_clay:13, Argila Tingida de Verde
minecraft:stained_hardened_clay:14, Argila Tingida de Vermelho
minecraft:stained_hardened_clay:15, Argila Tingida de Preto
minecraft:stained_glass_pane:0, Painel de Vidro Tingido de Branco
minecraft:stained_glass_pane:1, Painel de Vidro Tingido de Laranja
minecraft:stained_glass_pane:2, Painel de Vidro Tingido de Magenta
minecraft:stained_glass_pane:3, Painel de Vidro Tingido de Azul Claro
minecraft:stained_glass_pane:4, Painel de Vidro Tingido de Amarelo
minecraft:stained_glass_pane:5, Painel de Vidro Tingido de Verde Limão
minecraft:stained_glass_pane:6, Painel de Vidro Tingido de Rosa
minecraft:stained_glass_pane:7, Painel de Vidro Tingido de Cinza
minecraft:stained_glass_pane:8, Painel de Vidro Tingido de Cinza Claro
minecraft:stained_glass_pane:9, Painel de Vidro Tingido de Ciano
minecraft:stained_glass_pane:10, Painel de Vidro Tingido de Lilás
minecraft:stained_glass_pane:11, Painel de Vidro Tingido de Azul
minecraft:stained_glass_pane:12, Painel de Vidro Tingido de Marrom
minecraft:stained_glass_pane:13, Painel de Vidro Tingido de Verde
minecraft:stained_glass_pane:14, Painel de Vidro Tingido de Vermelho
minecraft:stained_glass_pane:15, Painel de Vidro Tingido de Preto
minecraft:leaves2:0, Folhas de Acácia
minecraft:leaves2:1, Folhas de Carvalho Escuro
minecraft:log2:0, Madeira de Acácia
minecraft:log2:1, Madeira de Carvalho Escuro
minecraft:acacia_stairs, Escadas de Acácia
minecraft:dark_oak_stairs, Escadas de Carvalho Escuro
appliedenergistics2:tile.OreQuartz, Minério de Quartzo Certus
appliedenergistics2:tile.OreQuartzCharged, Minério de Quartzo Certus Carregado
appliedenergistics2:tile.BlockMatrixFrame, Armação de Matriz
appliedenergistics2:tile.BlockQuartz, Bloco de Quartzo Certus
appliedenergistics2:tile.BlockQuartzPillar, Pilar de Quartzo Certus
minecraft:hay_block, Fardo de Feno
minecraft:carpet:0, Carpete
minecraft:carpet:1, Carpete Laranja
minecraft:carpet:2, Carpete Magenta
minecraft:carpet:3, Carpete Azul Claro
minecraft:carpet:4, Carpete Amarelo
minecraft:carpet:5, Carpete Verde Limão
minecraft:carpet:6, Carpete Rosa
minecraft:carpet:7, Carpete Cinza
minecraft:carpet:8, Carpete Cinza Claro
minecraft:carpet:9, Carpete Ciano
minecraft:carpet:10, Carpete Lilás
minecraft:carpet:11, Carpete Azul
minecraft:carpet:12, Carpete Marrom
minecraft:carpet:13, Carpete Verde
minecraft:carpet:14, Carpete Vermelho
minecraft:carpet:15, Carpete Preto
minecraft:hardened_clay, Argila Endurecida
minecraft:coal_block, Bloco de Carvão
minecraft:packed_ice, Gelo Compactado
minecraft:double_plant:0, Girassol
minecraft:double_plant:1, Lilás
minecraft:double_plant:2, Grama Alta
minecraft:double_plant:3, Samambaia Grande
minecraft:double_plant:4, Roseira
minecraft:double_plant:5, Peônia
appliedenergistics2:tile.BlockQuartzChiseled, Bloco de Quartzo Certus Talhado
appliedenergistics2:tile.BlockQuartzGlass, Vidro de Quartzo
appliedenergistics2:tile.BlockQuartzLamp, Vidro Vibrante de Quartzo
appliedenergistics2:tile.BlockQuartzTorch, Instalação de Quartzo Carregado
appliedenergistics2:tile.BlockFluix, Bloco de Fluix
appliedenergistics2:tile.BlockSkyStone:0, Pedra do Céu
appliedenergistics2:tile.BlockSkyStone:1, Bloco de Pedra do Céu
appliedenergistics2:tile.BlockSkyStone:2, Tijolos de Pedra do Céu
appliedenergistics2:tile.BlockSkyStone:3, Tijolos Pequenos de Pedra do Céu
appliedenergistics2:tile.BlockSkyChest:0, Baú de Pedra do Céu
appliedenergistics2:tile.BlockSkyChest:1, Baú de Bloco de Pedra do Céu
appliedenergistics2:tile.BlockSkyCompass, Bússola de Meteoritos
appliedenergistics2:tile.BlockGrinder, Rebolo de Quartzo
appliedenergistics2:tile.BlockCrank, Manivela de Madeira
appliedenergistics2:tile.BlockInscriber, Inscritor
appliedenergistics2:tile.BlockWireless, Ponto de Acesso Sem Fio ME
appliedenergistics2:tile.BlockCharger, Carregador
appliedenergistics2:tile.BlockTinyTNT, TNT Minúscula
appliedenergistics2:tile.BlockSecurity, Terminal de Segurança ME
appliedenergistics2:tile.BlockQuantumRing, Anel Quântico ME
appliedenergistics2:tile.BlockQuantumLinkChamber, Câmara de Ligação Quântica ME
appliedenergistics2:tile.BlockSpatialPylon, Pilão Espacial
appliedenergistics2:tile.BlockSpatialIOPort, Porta Entrada-Saída Espacial
appliedenergistics2:tile.BlockCableBus, Cabos e/ou Barramentos do AE2
appliedenergistics2:tile.BlockController, Controlador ME
appliedenergistics2:tile.BlockCreativeEnergyController, ME Self Powered Controller
appliedenergistics2:tile.BlockDrive, Acionador ME
appliedenergistics2:tile.BlockChest, Báu ME
appliedenergistics2:tile.BlockInterface, Interface ME
appliedenergistics2:tile.BlockCellWorkbench, Bancada de Células
appliedenergistics2:tile.BlockIOPort, Porta de Entrada-Saída ME
appliedenergistics2:tile.BlockCondenser, Condensador de Matéria
appliedenergistics2:tile.BlockEnergyAcceptor, Aceitador de Energia
appliedenergistics2:tile.BlockVibrationChamber, Câmara de Vibração
appliedenergistics2:tile.BlockQuartzGrowthAccelerator, Acelerador de Crescimento de Cristais
appliedenergistics2:tile.BlockEnergyCell, Célula de Energia
appliedenergistics2:tile.BlockDenseEnergyCell, Célula Densa de Energia
appliedenergistics2:tile.BlockCreativeEnergyCell, Célula Criativa de Energia
appliedenergistics2:tile.BlockCraftingUnit:0, Unidade de Fabricação
appliedenergistics2:tile.BlockCraftingUnit:1, Unidade de Co-Processamento de Fabricação
appliedenergistics2:tile.BlockCraftingUnit:2, 4 Núcleos Unidade de Co-Processamento de Fabricação
appliedenergistics2:tile.BlockCraftingUnit:3, 16 Núcleos Unidade de Co-Processamento de Fabricação
appliedenergistics2:tile.BlockAdvancedCraftingUnit:0, 64 Core Co-Processing Unit
appliedenergistics2:tile.BlockAdvancedCraftingUnit:1, 256 Core Co-Processing Unit
appliedenergistics2:tile.BlockAdvancedCraftingUnit:2, 1024 Core Co-Processing Unit
appliedenergistics2:tile.BlockAdvancedCraftingUnit:3, 4096 Core Co-Processing Unit
appliedenergistics2:tile.BlockCraftingStorage:0, Armazenamento de Fabricação de 1k
appliedenergistics2:tile.BlockCraftingStorage:1, Armazenamento de Fabricação de 4k
appliedenergistics2:tile.BlockCraftingStorage:2, Armazenamento de Fabricação de 16k
appliedenergistics2:tile.BlockCraftingStorage:3, Armazenamento de Fabricação de 64k
appliedenergistics2:tile.BlockAdvancedCraftingStorage:0, §9256k§r Crafting Storage
appliedenergistics2:tile.BlockAdvancedCraftingStorage:1, §d1024k§r Crafting Storage
appliedenergistics2:tile.BlockAdvancedCraftingStorage:2, §c4096k§r Crafting Storage
appliedenergistics2:tile.BlockAdvancedCraftingStorage:3, §516384k§r Crafting Storage
appliedenergistics2:tile.BlockSingularityCraftingStorage:0, Singularity Crafting Storage
appliedenergistics2:tile.BlockCraftingMonitor:0, Monitor de Fabricação
appliedenergistics2:tile.BlockMolecularAssembler, Montador Molecular
appliedenergistics2:tile.BlockLightDetector, Instalação Detectora de Luz
appliedenergistics2:tile.BlockPaint, Paint
appliedenergistics2:tile.BlockPatternOptimizationMatrix, Pattern Optimization Matrix
appliedenergistics2:tile.SkyStoneStairBlock, Escadas de Pedra do Céu 
appliedenergistics2:tile.SkyStoneBlockStairBlock, Escadas de Bloco de Pedra do Céu 
appliedenergistics2:tile.SkyStoneBrickStairBlock, Escadas de Tijolos de Pedra do Céu 
appliedenergistics2:tile.SkyStoneSmallBrickStairBlock, Escadas de Tijolos Pequenos de Pedra do Céu 
appliedenergistics2:tile.FluixStairBlock, Escadas de Fluix 
appliedenergistics2:tile.QuartzStairBlock, Escadas de Quartzo Certus 
appliedenergistics2:tile.ChiseledQuartzStairBlock, Escadas de Quartzo Certus Talhadas
appliedenergistics2:tile.QuartzPillarStairBlock, Escadas de Pilar de Quartzo Certus 
appliedenergistics2:tile.SkyStoneSlabBlock:0, Laje de Pedra do Céu
appliedenergistics2:tile.SkyStoneSlabBlock.double:0, Laje de Pedra do Céu
appliedenergistics2:tile.SkyStoneBlockSlabBlock:0, Laje de Bloco de Pedra do Céu
appliedenergistics2:tile.SkyStoneBlockSlabBlock.double:0, Laje de Bloco de Pedra do Céu
appliedenergistics2:tile.SkyStoneBrickSlabBlock:0, Laje de Tijolos de Pedra do Céu
appliedenergistics2:tile.SkyStoneBrickSlabBlock.double:0, Laje de Tijolos de Pedra do Céu
appliedenergistics2:tile.SkyStoneSmallBrickSlabBlock:0, Laje de Tijolos Pequenos de Pedra do Céu
appliedenergistics2:tile.SkyStoneSmallBrickSlabBlock.double:0, Laje de Tijolos Pequenos de Pedra do Céu
appliedenergistics2:tile.FluixSlabBlock:0, Laje de Fluix
appliedenergistics2:tile.FluixSlabBlock.double:0, Laje de Fluix
appliedenergistics2:tile.QuartzSlabBlock:0, Laje de Quartzo Certus
appliedenergistics2:tile.QuartzSlabBlock.double:0, Laje de Quartzo Certus
appliedenergistics2:tile.ChiseledQuartzSlabBlock:0, Laje de Quartzo Certus Talhadas
appliedenergistics2:tile.ChiseledQuartzSlabBlock.double:0, Laje de Quartzo Certus Talhadas
appliedenergistics2:tile.QuartzPillarSlabBlock:0, Laje de Pilar de Quartzo Certus
appliedenergistics2:tile.QuartzPillarSlabBlock.double:0, Laje de Pilar de Quartzo Certus
ae2stuff:Encoder, Codificador de Padrões
ae2stuff:Grower, Câmara de Crescimento de Cristais
ae2stuff:Inscriber, Inscritor Avançado
ae2stuff:Wireless:0, Wireless Connector
ae2stuff:Wireless:1, Wireless Connector
ae2stuff:Wireless:2, Wireless Connector
ae2stuff:Wireless:3, Wireless Connector
ae2stuff:Wireless:4, Wireless Connector
ae2stuff:Wireless:5, Wireless Connector
ae2stuff:Wireless:6, Wireless Connector
ae2stuff:Wireless:7, Wireless Connector
ae2stuff:Wireless:8, Wireless Connector
ae2stuff:Wireless:9, Wireless Connector
ae2stuff:Wireless:10, Wireless Connector
ae2stuff:Wireless:11, Wireless Connector
ae2stuff:Wireless:12, Wireless Connector
ae2stuff:Wireless:13, Wireless Connector
ae2stuff:Wireless:14, Wireless Connector
ae2stuff:Wireless:15, Wireless Connector
ae2stuff:Wireless:16, Wireless Connector
ae2stuff:Wireless:17, Wireless Connector
ae2stuff:Wireless:18, Wireless Connector
ae2stuff:Wireless:19, Wireless Connector
ae2stuff:Wireless:20, Wireless Connector
ae2stuff:Wireless:21, Wireless Connector
ae2stuff:Wireless:22, Wireless Connector
ae2stuff:Wireless:23, Wireless Connector
ae2stuff:Wireless:24, Wireless Connector
ae2stuff:Wireless:25, Wireless Connector
ae2stuff:Wireless:26, Wireless Connector
ae2stuff:Wireless:27, Wireless Connector
ae2stuff:Wireless:28, Wireless Connector
ae2stuff:Wireless:29, Wireless Connector
ae2stuff:Wireless:30, Wireless Connector
ae2stuff:Wireless:31, Wireless Connector
ae2stuff:Wireless:32, Wireless Connector
ae2stuff:Wireless:33, Wireless Connector
IC2:blockOreCopper, ic2.blockOreCopper.name
IC2:blockOreTin, ic2.blockOreTin.name
IC2:blockOreUran, ic2.blockOreUran.name
IC2:blockOreLead, ic2.blockOreLead.name
IC2:blockRubWood, ic2.blockRubWood.name
IC2:blockRubLeaves, ic2.blockRubLeaves.name
IC2:blockRubSapling, ic2.blockRubSapling.name
IC2:blockHarz, ic2.blockHarz.name
minecraft:iron_shovel, Pá de Ferro
minecraft:iron_pickaxe, Picareta de Ferro
minecraft:iron_axe, Machado de Ferro
minecraft:flint_and_steel, Isqueiro
minecraft:apple, Maçã
minecraft:bow, Arco Curto
minecraft:arrow, Flecha
minecraft:coal:0, Carvão
minecraft:coal:1, Carvão Vegetal
minecraft:diamond, Diamante
minecraft:iron_ingot, Barra de Ferro
minecraft:gold_ingot, Barra de Ouro
minecraft:iron_sword, Espada de Ferro
minecraft:wooden_sword, Espada de Madeira
minecraft:wooden_shovel, Pá de Madeira
minecraft:wooden_pickaxe, Picareta de Madeira
minecraft:wooden_axe, Machado de Madeira
minecraft:stone_sword, Espada de Pedra
minecraft:stone_shovel, Pá de Pedra
minecraft:stone_pickaxe, Picareta de Pedra
minecraft:stone_axe, Machado de Pedra
minecraft:diamond_sword, Espada de Diamante
minecraft:diamond_shovel, Pá de Diamante
minecraft:diamond_pickaxe, Picareta de Diamante
minecraft:diamond_axe, Machado de Diamante
minecraft:stick, Graveto
minecraft:bowl, Tigela
minecraft:mushroom_stew, Ensopado de Cogumelos
minecraft:golden_sword, Espada de Ouro
minecraft:golden_shovel, Pá de Ouro
minecraft:golden_pickaxe, Picareta de Ouro
minecraft:golden_axe, Machado de Ouro
minecraft:string, Linha
minecraft:feather, Pena
minecraft:gunpowder, Pólvora
minecraft:wooden_hoe, Enxada de Madeira
minecraft:stone_hoe, Enxada de Pedra
minecraft:iron_hoe, Enxada de Ferro
minecraft:diamond_hoe, Enxada de Diamante
minecraft:golden_hoe, Enxada de Ouro
minecraft:wheat_seeds, Sementes
minecraft:wheat, Trigo
minecraft:bread, Pão
minecraft:leather_helmet, Capuz de Couro
minecraft:leather_chestplate, Túnica de Couro
minecraft:leather_leggings, Calça de Couro
minecraft:leather_boots, Botas de Couro
minecraft:chainmail_helmet, Coifa de Cota de Malha
minecraft:chainmail_chestplate, Peitoral de Cota de Malha
minecraft:chainmail_leggings, Calça de Cota de Malha
minecraft:chainmail_boots, Botas de Cota de Malha
minecraft:iron_helmet, Elmo de Ferro
minecraft:iron_chestplate, Peitoral de Ferro
minecraft:iron_leggings, Calças de Ferro
minecraft:iron_boots, Botas de Ferro
minecraft:diamond_helmet, Elmo de Diamante
minecraft:diamond_chestplate, Peitoral de Diamante
minecraft:diamond_leggings, Calças de Diamante
minecraft:diamond_boots, Botas de Diamante
minecraft:golden_helmet, Elmo de Ouro
minecraft:golden_chestplate, Peitoral de Ouro
minecraft:golden_leggings, Calças de Ouro
minecraft:golden_boots, Botas de Ouro
minecraft:flint, Pederneira
minecraft:porkchop, Carne de Porco Crua
minecraft:cooked_porkchop, Carne de Porco Assada
minecraft:painting, Pintura
minecraft:golden_apple:0, Maçã Dourada
minecraft:golden_apple:1, Maçã Dourada
minecraft:sign, Placa
minecraft:wooden_door, Porta de Madeira
minecraft:bucket, Balde
minecraft:water_bucket, Balde de Água
minecraft:lava_bucket, Balde de Lava
minecraft:minecart, Carrinho
minecraft:saddle, Sela
minecraft:iron_door, Porta de Ferro
minecraft:redstone, Redstone
minecraft:snowball, Bola de Neve
minecraft:boat, Bote
minecraft:leather, Couro
minecraft:milk_bucket, Balde de Leite
minecraft:brick, Tijolo
minecraft:clay_ball, Argila
minecraft:reeds, Canas-de-Açúcar
minecraft:paper, Papel
minecraft:book, Livro
minecraft:slime_ball, Gosma de Slime
minecraft:chest_minecart, Carrinho com Baú
minecraft:furnace_minecart, Carrinho com Fornalha
minecraft:egg, Ovo
minecraft:compass, Bússola
minecraft:fishing_rod, Vara de Pescar
minecraft:clock, Relógio
minecraft:glowstone_dust, Pó de Pedra Luminosa
minecraft:fish:0, Peixe Cru
minecraft:fish:1, Salmão Cru
minecraft:fish:2, Peixe-Palhaço
minecraft:fish:3, Baiacu
minecraft:cooked_fished:0, Peixe Assado
minecraft:cooked_fished:1, Salmão Assado
minecraft:dye:0, Bolsa de Tinta
minecraft:dye:1, Vermelho da Rosa
minecraft:dye:2, Verde do Cacto
minecraft:dye:3, Sementes de Cacau
minecraft:dye:4, Lápis-Lazúli
minecraft:dye:5, Corante Lilás
minecraft:dye:6, Corante Ciano
minecraft:dye:7, Corante Cinza Claro
minecraft:dye:8, Corante Cinza
minecraft:dye:9, Corante Rosa
minecraft:dye:10, Corante Verde Limão
minecraft:dye:11, Amarelo do Dente-de-Leão
minecraft:dye:12, Corante Azul Claro
minecraft:dye:13, Corante Magenta
minecraft:dye:14, Corante Laranja
minecraft:dye:15, Farinha de Osso
minecraft:bone, Osso
minecraft:sugar, Açúcar
minecraft:cake, Bolo
minecraft:bed, Cama
minecraft:repeater, Repetidor de Redstone
minecraft:cookie, Biscoito
minecraft:filled_map:0, Mapa
minecraft:shears, Tesoura
minecraft:melon, Melancia
minecraft:pumpkin_seeds, Sementes de Abóbora
minecraft:melon_seeds, Sementes de Melancia
minecraft:beef, Bife Cru
minecraft:cooked_beef, Filé
minecraft:chicken, Frango Cru
minecraft:cooked_chicken, Frango Assado
minecraft:rotten_flesh, Carne Podre
minecraft:ender_pearl, Pérola do Fim
minecraft:blaze_rod, Vara Incandescente
minecraft:ghast_tear, Lágrima de Ghast
minecraft:gold_nugget, Pepita de Ouro
minecraft:nether_wart, Fungo do Nether
minecraft:potion:0, Frasco com Água
minecraft:potion:8193, Poção da Regeneração
minecraft:potion:8225, Poção da Regeneração
minecraft:potion:8257, Poção da Regeneração
minecraft:potion:16385, Arremessável Poção da Regeneração
minecraft:potion:16417, Arremessável Poção da Regeneração
minecraft:potion:16449, Arremessável Poção da Regeneração
minecraft:potion:8194, Poção da Agilidade
minecraft:potion:8226, Poção da Agilidade
minecraft:potion:8258, Poção da Agilidade
minecraft:potion:16386, Arremessável Poção da Agilidade
minecraft:potion:16418, Arremessável Poção da Agilidade
minecraft:potion:16450, Arremessável Poção da Agilidade
minecraft:potion:8227, Poção de Resistência ao Fogo
minecraft:potion:8259, Poção de Resistência ao Fogo
minecraft:potion:16419, Arremessável Poção de Resistência ao Fogo
minecraft:potion:16451, Arremessável Poção de Resistência ao Fogo
minecraft:potion:8196, Poção Venenosa
minecraft:potion:8228, Poção Venenosa
minecraft:potion:8260, Poção Venenosa
minecraft:potion:16388, Arremessável Poção Venenosa
minecraft:potion:16420, Arremessável Poção Venenosa
minecraft:potion:16452, Arremessável Poção Venenosa
minecraft:potion:8261, Poção de Cura
minecraft:potion:8229, Poção de Cura
minecraft:potion:16453, Arremessável Poção de Cura
minecraft:potion:16421, Arremessável Poção de Cura
minecraft:potion:8230, Poção da Visão Noturna
